Id,PostId,Score,Text,CreationDate,UserDisplayName,UserId,ContentLicense
"81182470","47114639","55","I suspect the reason is because you do not have a Scaffold on this page.","2017-11-04 22:33:12","","3434970","CC BY-SA 3.0"
"112380798","52249578","42","I'd recommend either explaining the undesirable side effects directly in the documentation (first choice) or adding more explanation here (second choice). I don't know if I'm representative of the average Provider user or not, but when I come here I still don't understand the relationship between using `.value` and unwanted widget build or the `build` method needing to be pure.","2020-08-24 00:11:26","","3681880","CC BY-SA 4.0"
"87972574","50477809","39","There is an field in ListView `physics = NeverScrollableScrollPhysics()`; Now you can implement it base on some condition","2018-05-23 03:56:42","","4211520","CC BY-SA 4.0"
"109414765","52249578","37","In the [provider documentation](https://pub.dev/documentation/provider/latest/) you link here saying ""See this stackoverflow answer which explains in further details why using the .value constructor to create values is undesired."" However, you don't mention the value constructor here or in your answer. Did you mean to link somewhere else?","2020-05-18 01:23:05","","3681880","CC BY-SA 4.0"
"93058331","53080186","29","Grey color because of elevation. You can set `AppBar(backgroundColor: Colors.transparent, elevation: 0.0,)` and appbar will be transparent","2018-10-31 09:53:48","","7130820","CC BY-SA 4.0"
"103295801","43122113","29","After another 1.5 years, it seems like this isn't such a bad idea after all. Every month there's new phones coming out with weirder and weirder aspect ratio.","2019-10-21 08:03:48","","2155584","CC BY-SA 4.0"
"99657924","56537718","29","Have you read https://dart.dev/guides/language/language-tour#assert ?  As with other programming languages, `assert` is used to validate your assumptions in debug builds without affecting release builds.","2019-06-11 06:46:48","","179715","CC BY-SA 4.0"
"104144479","58942985","23","The file where the extension is defined must be imported","2019-11-19 21:25:27","","8394265","CC BY-SA 4.0"
"101900883","51860845","23","all of the solutions do not work for me. Notice, I installed flutter and dart plugin already. How can I resolve the problem ?","2019-08-30 16:29:31","","7660084","CC BY-SA 4.0"
"86986738","45409565","21","Not a full answer but a I got the same error the following way create a Scaffold with a Drawer, put a button in the drawer. bind a callback to the button that causes the app state to change in a way that the whole drawer is not rendered anymore. Then the error is caused by the drawer still being open but not in the widget tree anymore.
The solution for me to call `Navigator.pop(context)` (ie closing the drawer) before calling the `setState()` that causes the drawer to be removed.","2018-04-23 15:53:24","","1533291","CC BY-SA 3.0"
