Id,PostId,Score,Text,CreationDate,UserDisplayName,UserId,ContentLicense
"3783996","34571","312","Best way to test a private method is not testing it directly","2010-08-30 20:43:56","","70551","CC BY-SA 2.5"
"15577080","3693626","98","You should never write tests that need to be executed in a specified order. That's really bad practice. Every test should be able to run independent.","2012-07-31 09:57:35","","1447641","CC BY-SA 3.0"
"32131611","14136731","71","I find questions like this extremely helpful on SO... I wanted to say thank you for taking the risk of asking it and congratulations on not having it closed!","2014-01-23 19:27:50","","1445967","CC BY-SA 3.0"
"2213359","2253750","56","That assumes that order on serialization to and from strings are always the same.  I'm not comfortable making that assumption.","2010-02-12 18:46:23","","89493","CC BY-SA 2.5"
"6310268","309396","39","If you're testing main(), then it makes perfect sense to call System.exit(). We have a requirement that on error a batch process should exit with 1 and on success exit with 0.","2011-04-05 10:43:40","","1836","CC BY-SA 2.5"
"20651624","34571","30","Check the article *[Testing Private Methods with JUnit and SuiteRunner](http://www.artima.com/suiterunner/privateP.html)*.","2010-10-13 09:34:01","","271999","CC BY-SA 2.5"
"82908186","47969384","28","http://junit.org/junit5/docs/current/user-guide/#running-tests-build-gradle","2017-12-25 14:14:54","","571407","CC BY-SA 3.0"
"67545882","442556","28","I'm surprised to hear that seeking a specification or standard ""tend[s] to attract opinionated answers ..."". I can understand why discussion of a spec or standard would create such problems, but a spec itself is simply a concrete fact. Either it exists or it doesn't, and an answerer either knows where it exists or not. Given the importance of specs and standards in helping modern software -- the most complex artifacts people have ever built -- interoperate, I think that the SO guidelines should be altered to allow these types of questions.","2016-10-19 17:40:19","","509882","CC BY-SA 3.0"
"19995904","156503","27","The problem with any other approach but this is that they invariably end the test once the exception has been thrown. I, on the other hand, often still want to call `org.mockito.Mockito.verify` with various parameters to make sure that certain things happened (such that a logger service was called with the correct parameters) before the exception was thrown.","2013-01-17 11:05:54","","1333157","CC BY-SA 3.0"
"6714717","5845990","22","I haven't worked with Maven 3, but my first guess would be that your test class is in src/main/java and your POM defines junit as a test dependency (that is, the value of the ""scope"" element is ""test"").  I can't say for sure without seeing your POM and knowing the structure of your project, though.","2011-05-01 02:30:52","","299222","CC BY-SA 3.0"
