Id,PostId,Score,Text,CreationDate,UserDisplayName,UserId,ContentLicense
"91509486","14132789","628","The mere fact that ""billions"" of people -- ok 83,136 as of this comment -- are having enough difficulty with imports to search out this question;  we can only conclude that python imports are counter-intuitive for many, if not most programmers.  Guido, perhaps you should accept this and ask for a committee to redesign the import mechanism.  At a minimum, this syntax ought to work if x.py and z.py are in the same directory.  Namely if x.py has the statement, ""from .z import MyZebraClass"" x should import z EVEN if it's being run as __main__!  Why is that so hard?","2018-09-11 16:53:57","","32584","CC BY-SA 4.0"
"9929453","5458048","459","The part of the question that says ""I don't want to force my clients to install Python and modules.""  It doesn't say the clients can't do it, it says the developer doesn't want to require them to do it.  There's no point in debating the point here, because the clients are not reading SO to speak for themselves.  I wouldn't want to install a Flash development environment just to watch youtube, or a C development environment just to play Sudoku, or a Python development environment to run a version of Angry Birds written in Python.  That's what redistributable runtimes are for.","2011-11-11 20:03:14","","948866","CC BY-SA 3.0"
"48922737","30418481","334","Python 3 renamed `dict.iteritems -> dict.items`.","2015-05-23 23:16:06","","464744","CC BY-SA 3.0"
"13826994","10660435","328","Since your example looks like a SQL block just waiting for an injection attack, another suggestion is to look into a higher level SQL library like SQLAlchemy or something to steer clear of hacking together raw SQL like this.  (Perhaps off-topic, but you did ask for ""Any suggestions"". ;)","2012-05-18 22:26:37","","455506","CC BY-SA 3.0"
"2286390","890128","272","+1 Good question - bad assumptions (obscurity of lambda) =)  Try not to be judgmental of programming techniques. Evaluate them, and add them to your mental toolkit. If you don't like them, don't use them, and be prepared to discuss them logically without becoming religious.","2010-02-23 13:27:44","","15852","CC BY-SA 2.5"
"21094703","15014310","271","`range` in Python 3.x is `xrange` from Python 2.x. It was in fact Python 2.x's `range` that was removed.","2013-02-21 23:43:21","","824544","CC BY-SA 3.0"
"1909243","1988804","267","When the second sentence of the relevant wikipedia article contains the phrase ""mutually-recursive descent parsing[1] in a general top-down parsing algorithm[2][3] that accommodates ambiguity and left recursion in polynomial time and space,"" I think it is entirely appropriate to ask SO what is going on.","2010-01-02 14:17:35","","165876","CC BY-SA 2.5"
"40162642","13413590","261","`df.dropna(subset = ['column1_name', 'column2_name', 'column3_name'])`","2014-09-05 23:53:52","","1243926","CC BY-SA 3.0"
"24385808","3580855","211","Ironically, googling ""python win32api"" now leads to this page.","2013-06-03 14:15:12","","353407","CC BY-SA 3.0"
"103223680","3768895","208","It's unfortunate that the answers all seem to answer the question ""How do I serialize a class?"" rather than the action question ""How do I make a class serializable?"" These answers assume that you're doing the serialization yourself, rather than passing the object along to some other module that serializes it.","2019-10-17 23:59:23","","2122672","CC BY-SA 4.0"
