Id,PostId,Score,Text,CreationDate,UserDisplayName,UserId,ContentLicense
"46440130","24002733","131","Steve Jobs, Bill Gates, Linus Torvalds, but who is Bret? - I feel like I should know (and I'm probably going to kick myself when I find out!)","2015-03-17 16:54:30","","1037617","CC BY-SA 3.0"
"37137894","24081009","95","For the record, I don't think this question should be closed. Swift is a new language, so there are going to be questions like this for a while as we all learn. I find this question very interesting and I hope that someone will have a compelling case on the defense.","2014-06-06 12:11:13","","468327","CC BY-SA 3.0"
"103923548","56491881","94","The showing of the keyboard and it obscuring content on the screen has been around since what, the first Objective C iPhone app? This is problem that is *constantly* being solved. I for one am disappointed that Apple has not addressed this with SwiftUi. I know this comment is not helpful to anyone, but I wanted to raise this issue that we really should be putting pressure on Apple to provide a solution and not rely on the community to always supply this most common of problems.","2019-11-12 17:00:34","","7104821","CC BY-SA 4.0"
"63907301","27903500","90","You accidentally added semicolons :D","2016-07-07 10:30:21","","1889258","CC BY-SA 3.0"
"89154340","51082918","88","`protocol HandleMapSearch: class { ... }`","2018-06-28 12:31:00","","1187415","CC BY-SA 4.0"
"49763074","30859334","87","I think questions like this one about differences between languages are really useful for understanding language features. And I don't think they lead to unnecessary opinionated answers nor are very easy to find the answer to in documentation. So I don't think the down votes on this question are justified.","2015-06-16 06:31:47","","452775","CC BY-SA 3.0"
"43067968","25138339","84","Thank you, Apple, for giving us the new Range class, but then not updating of any of the string utility classes, such as NSRegularExpression, to use them!","2014-12-04 19:29:31","","1211940","CC BY-SA 3.0"
"37543113","24006206","80","I would kill for this to be fixed right now...","2014-06-18 20:52:10","","2446155","CC BY-SA 3.0"
"64910117","24003291","74","You really should award an answer as you have several to choose from, and this question has gotten you a lot of up votes.","2016-08-04 14:00:59","","1633251","CC BY-SA 3.0"
"25894231","17757072","63","You have to push a view controller, not another navigation controller. If you really want to display another navigation controller, you need to present it, not push it.","2013-07-19 23:45:21","","1226963","CC BY-SA 3.0"
