Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate,ContentLicense
"50081213","1","50081214","","2018-04-28 21:25:28","","555","511913","<p>How do I convert a <em>hexadecimal color string</em> like <strong><code>#b74093</code></strong> to a <code>Color</code> in Flutter?</p>
<p>I want to use a HEX color code in Dart.</p>
","6509751","","","user10563627","2021-12-26 07:33:51","2022-08-11 10:22:02","How do I use hexadecimal color strings in Flutter?","<string><flutter><dart><colors><hex>","31","2","0","","","CC BY-SA 4.0"
"49991444","1","57482106","","2018-04-23 23:45:03","","512","652529","<p>I'm currently developing an Android app in Flutter. How can I add a rounded button?</p>
","4083636","","","user10563627","2021-12-25 03:31:10","2022-12-28 14:43:25","Create a rounded button / button with border-radius in Flutter","<flutter><dart><rounded-corners><border-radius>","35","1","0","","","CC BY-SA 4.0"
"43928702","1","47652788","","2017-05-12 03:13:28","","496","461126","<p>When I create an app with a <code>flutter create</code> command, the flutter logo is used as an application icon for both platforms.</p>
<p>If I want to change the app icon, shall I go to both platforms directories and replace images there?, by platforms directories I mean  <code>myapp/ios/Runner/Assets.xcassets/AppIcon.appiconset</code> for iOS and <code>myapp/android/app/src/main/res</code> for Android.</p>
<p>Or is it possible to define an image as a <a href=""https://flutter.io/assets-and-images/"" rel=""noreferrer"">Flutter Asset</a> and the icons are generated somehow?.</p>
","1476228","","","user10563627","2020-10-23 09:30:54","2022-12-21 07:41:47","How to change the application launcher icon on Flutter?","<flutter><dart><appicon><application-icon>","21","2","0","","","CC BY-SA 4.0"
"47423297","1","47424036","","2017-11-21 21:48:26","","495","779553","<p>I'm using Flutter and I'd like to add a border to a widget (in this case, a <code>Text</code> widget).</p>
<p>I tried <code>TextStyle</code> and <code>Text</code>, but I didn't see how to add a border.</p>
","123471","","","user10563627","2021-12-26 07:35:36","2022-12-28 16:06:20","How can I add a border to a widget in Flutter?","<flutter><dart><border><flutter-widget>","15","0","0","","","CC BY-SA 4.0"
"63492211","1","63492262","","2020-08-19 17:35:33","","439","305030","<p>I am building a Flutter application and I have integrated Firebase, but I keep getting this error when I click on a button either to register, login or logout. I have seen other people have asked the same question, but none seems to work for me. I am using Flutter and <a href=""https://en.wikipedia.org/wiki/Android_Studio"" rel=""noreferrer"">Android Studio</a>. How can I fix this problem?</p>
<p><strong>This is an excerpt of my code</strong></p>
<pre><code>class HomeScreen extends StatefulWidget {
  @override
  _HomeScreenState createState() =&gt; _HomeScreenState();
}

class _HomeScreenState extends State&lt;HomeScreen&gt; {
  @override
  Widget build(BuildContext context) {
    return Scaffold(
      backgroundColor: Colors.red,
      body: Center(
        child: Container(
          child: RaisedButton(
            onPressed: () {
              FirebaseAuth.instance.signOut().then((value) {
                Navigator.pushReplacement(
                    context,
                    MaterialPageRoute(
                        builder: (context) =&gt;
                            LoginScreen()));
              });
            },
            child: Text(&quot;Logout&quot;),
          )
        )
      )
    );
  }
}
</code></pre>
<p><strong>Below is the thrown exception</strong></p>
<pre class=""lang-none prettyprint-override""><code>══╡ EXCEPTION CAUGHT BY GESTURE ╞═══════════════════════════════════════════════════════════════════
The following FirebaseException was thrown while handling a gesture:
[core/no-app] No Firebase App '[DEFAULT]' has been created - call Firebase.initializeApp()

When the exception was thrown, this was the stack:

#0      MethodChannelFirebase.app (package:firebase_core_platform_interface/src/method_channel/method_channel_firebase.dart:118:5)
#1      Firebase.app (package:firebase_core/src/firebase.dart:52:41)
#2      FirebaseAuth.instance (package:firebase_auth/src/firebase_auth.dart:37:47)
#3      _HomeScreenState.build.&lt;anonymous closure&gt; (package:cosytok/screens/home.dart:20:28)
#4      _InkResponseState._handleTap (package:flutter/src/material/ink_well.dart:992:19)
#5      _InkResponseState.build.&lt;anonymous closure&gt; (package:flutter/src/material/ink_well.dart:1098:38)
#6      GestureRecognizer.invokeCallback (package:flutter/src/gestures/recognizer.dart:184:24)
#7      TapGestureRecognizer.handleTapUp (package:flutter/src/gestures/tap.dart:524:11)
#8      BaseTapGestureRecognizer._checkUp (package:flutter/src/gestures/tap.dart:284:5)
#9      BaseTapGestureRecognizer.handlePrimaryPointer (package:flutter/src/gestures/tap.dart:219:7)
#10     PrimaryPointerGestureRecognizer.handleEvent (package:flutter/src/gestures/recognizer.dart:477:9)
#11     PointerRouter._dispatch (package:flutter/src/gestures/pointer_router.dart:78:12)
#12     PointerRouter._dispatchEventToRoutes.&lt;anonymous closure&gt; (package:flutter/src/gestures/pointer_router.dart:124:9)
#13     _LinkedHashMapMixin.forEach (dart:collection-patch/compact_hash.dart:377:8)
#14     PointerRouter._dispatchEventToRoutes (package:flutter/src/gestures/pointer_router.dart:122:18)
#15     PointerRouter.route (package:flutter/src/gestures/pointer_router.dart:108:7)
#16     GestureBinding.handleEvent (package:flutter/src/gestures/binding.dart:220:19)
#17     GestureBinding.dispatchEvent (package:flutter/src/gestures/binding.dart:200:22)
#18     GestureBinding._handlePointerEvent (package:flutter/src/gestures/binding.dart:158:7)
#19     GestureBinding._flushPointerEventQueue (package:flutter/src/gestures/binding.dart:104:7)
#20     GestureBinding._handlePointerDataPacket (package:flutter/src/gestures/binding.dart:88:7)
#24     _invoke1 (dart:ui/hooks.dart:267:10)
#25     _dispatchPointerDataPacket (dart:ui/hooks.dart:176:5)
(elided 3 frames from dart:async)

Handler: &quot;onTap&quot;
Recognizer:
  TapGestureRecognizer#f0104
════════════════════════════════════════════════════════════════════════════════════════════════════

════════ Exception caught by gesture ═══════════════════════════════════════════════════════════════
The following FirebaseException was thrown while handling a gesture:
[core/no-app] No Firebase App '[DEFAULT]' has been created - call Firebase.initializeApp()
</code></pre>
","11439544","","","user10563627","2021-12-26 09:25:50","2022-11-08 07:18:52","No Firebase App '[DEFAULT]' has been created - call Firebase.initializeApp() in Flutter and Firebase","<firebase><flutter><android-studio><dart><google-cloud-firestore>","27","1","0","","","CC BY-SA 4.0"
"12649573","1","12649574","","2012-09-29 02:59:51","","437","235275","<p>The singleton pattern ensures only one instance of a class is ever created. How do I build this in Dart?</p>
","123471","","313113","","2017-12-28 18:31:23","2022-11-21 20:35:32","How do you build a Singleton in Dart?","<dart><singleton>","27","2","0","","","CC BY-SA 3.0"
"50431055","1","50431087","","2018-05-20 02:02:51","","436","160094","<p>What is the difference between <code>const</code> and <code>final</code> keyword in Dart?</p>
","9610901","","9523162","","2019-10-01 18:03:07","2022-09-16 06:45:27","What is the difference between the ""const"" and ""final"" keywords in Dart?","<dart><constants><keyword><final>","16","1","0","","","CC BY-SA 4.0"
"51534616","1","51550358","","2018-07-26 08:43:05","","434","356913","<p>Is there any way to change Package Name of Flutter project?</p>

<p>I want to change package name and application name in flutter project.</p>
","10137930","","","user10563627","2021-12-26 09:26:14","2022-12-10 00:21:19","How to change package name in flutter?","<flutter><dart><flutter-packages>","33","5","0","","","CC BY-SA 4.0"
"44991968","1","56946311","","2017-07-09 00:44:06","","418","272258","<p>I am collecting user input with a <code>TextFormField</code> and when the user presses a <code>FloatingActionButton</code> indicating they are done, I want to dismiss the on screen keyboard.</p>

<p>How do I make the keyboard go away automatically?</p>

<pre><code>import 'package:flutter/material.dart';

class MyHomePage extends StatefulWidget {
  MyHomePageState createState() =&gt; new MyHomePageState();
}

class MyHomePageState extends State&lt;MyHomePage&gt; {
  TextEditingController _controller = new TextEditingController();

  @override
  Widget build(BuildContext context) {
    return new Scaffold(
      appBar: new AppBar(),
      floatingActionButton: new FloatingActionButton(
        child: new Icon(Icons.send),
        onPressed: () {
          setState(() {
            // send message
            // dismiss on screen keyboard here
            _controller.clear();
          });
        },
      ),
      body: new Container(
        alignment: FractionalOffset.center,
        padding: new EdgeInsets.all(20.0),
        child: new TextFormField(
          controller: _controller,
          decoration: new InputDecoration(labelText: 'Example Text'),
        ),
      ),
    );
  }
}

class MyApp extends StatelessWidget {
  @override
  Widget build(BuildContext context) {
    return new MaterialApp(
      home: new MyHomePage(),
    );
  }
}

void main() {
  runApp(new MyApp());
}
</code></pre>
","1463116","","","user10563627","2021-12-26 09:26:59","2022-11-07 11:08:17","How can I dismiss the on screen keyboard?","<flutter><dart><keyboard><dismiss>","29","2","0","","","CC BY-SA 3.0"
"45924474","1","","","2017-08-28 17:31:16","","396","205843","<p>For UI that should differ slightly on <strong>iOS</strong> and <strong>Android</strong>, i.e. on <strong><em>different platforms</em></strong>, there must be a way to detect which one the app is running on, but I couldn't find it in the docs. What is it?</p>
","74063","","","user10563627","2021-12-26 09:27:19","2022-12-20 16:54:19","How do you detect the host platform from Dart code?","<flutter><dart><host>","20","1","0","","","CC BY-SA 4.0"
