Parent Tag,Parent ID,Child Tag,Child ID
.a,49128,.a,49128
.a,49128,c++,10
.a,49128,c,8
.a,49128,ios,58338
.a,49128,static-libraries,13619
.a,49128,linker,938
.a,49128,xcode,908
.a,49128,gcc,1477
.a,49128,mingw,4086
.a,49128,linux,58
.a,49128,dll,457
.a,49128,.lib,48532
.a,49128,android,1386
.a,49128,.so,115141
.a,49128,macos,369
.a,49128,c#,9
.a,49128,objective-c,7003
.a,49128,qt,1158
.a,49128,cmake,8822
.a,49128,compilation,4545
.a,49128,static,1292
.a,49128,unix-ar,16264
.a,49128,iphone,154
.a,49128,makefile,4301
.a,49128,android-ndk,42420
.a,49128,shared-libraries,8952
.a,49128,swift,104797
.a,49128,windows,64
.a,49128,unix,34
.a,49128,frameworks,1817
.app,43173,.app,43173
.app,43173,macos,369
.app,43173,java,17
.app,43173,ios,58338
.app,43173,xcode,908
.app,43173,python,16
.app,43173,iphone,154
.app,43173,jar,4841
.app,43173,c++,10
.app,43173,ios-simulator,65832
.app,43173,bash,387
.app,43173,bundle,2669
.app,43173,pyinstaller,14766
.app,43173,ipa,66100
.app,43173,swift,104797
.app,43173,file,5310
.app,43173,binary,368
.app,43173,exe,3727
.app,43173,info.plist,13259
.app,43173,py2app,30324
.app,43173,objective-c,7003
.app,43173,eclipse,53
.app,43173,shell,390
.app,43173,swing,1082
.app,43173,tkinter,5323
.app,43173,javafx,3890
.app,43173,deployment,190
.app,43173,zip,881
.app,43173,xcode6,104803
.app,43173,executable,1135
.aspxauth,48252,.aspxauth,48252
.aspxauth,48252,asp.net,96
.aspxauth,48252,cookies,292
.aspxauth,48252,c#,9
.aspxauth,48252,forms-authentication,3092
.aspxauth,48252,authentication,183
.aspxauth,48252,.net,1
.aspxauth,48252,asp.net-mvc,470
.aspxauth,48252,session,688
.aspxauth,48252,javascript,3
.aspxauth,48252,visual-studio-2010,14456
.aspxauth,48252,asp.net-mvc-4,71051
.aspxauth,48252,web-config,4528
.aspxauth,48252,python,16
.aspxauth,48252,php,5
.aspxauth,48252,vb.net,41
.aspxauth,48252,google-chrome,3600
.aspxauth,48252,wcf,752
.aspxauth,48252,iis,215
.aspxauth,48252,encryption,219
.aspxauth,48252,model-view-controller,444
.aspxauth,48252,azure-active-directory,93887
.aspxauth,48252,session-cookies,33541
.aspxauth,48252,simplemembership,83673
.aspxauth,48252,java,17
.aspxauth,48252,android,1386
.aspxauth,48252,html,2
.aspxauth,48252,css,4
.aspxauth,48252,ios,58338
.aspxauth,48252,mysql,21
.class-file,43907,.class-file,43907
.class-file,43907,java,17
.class-file,43907,jvm,2149
.class-file,43907,bytecode,3731
.class-file,43907,eclipse,53
.class-file,43907,jar,4841
.class-file,43907,compilation,4545
.class-file,43907,javac,7427
.class-file,43907,decompiling,3002
